ID,Trial,Fam,Temp,lnTMG,pop
OL6C21,3,4OL,26,-0.03598858,OL
OL6C21,1,4OL,27,0.091630421,OL
OL6C22,2,4OL,18,0.084927868,OL
OL6C22,1,4OL,24,0.189409545,OL
OL6C23,2,4OL,18,0.017220978,OL
OL6C23,1,4OL,24,0.162243186,OL
OL6C24,1,4OL,24,0.096114028,OL
OL6C25,2,4OL,18,0.087834447,OL
OL6C25,1,4OL,24,0.227325108,OL
OL6C26,2,4OL,18,0.089842333,OL
OL6C26,1,4OL,24,0.145857168,OL
OL6C27,3,4OL,31,0.242421816,OL
OL6C27,2,4OL,18,0.104385285,OL
OL6C27,1,4OL,24,0.162880876,OL
OL6C28,3,4OL,31,0.05253972,OL
OL6C28,2,4OL,18,0.078447065,OL
OL6C28,1,4OL,24,0.154508906,OL
OL6C29,3,4OL,31,-0.006151958,OL
OL6C29,2,4OL,18,0.116552223,OL
OL6C29,1,4OL,24,0.075269213,OL
OL6C3,2,4OL,29,0.245844805,OL
OL6C3,1,4OL,24,0.14723901,OL
OL6C4,2,4OL,29,0.243007204,OL
OL6C4,3,4OL,16,0.044271235,OL
OL6C4,1,4OL,24,0.155422653,OL
OL6C4,4,4OL,33,0.003095177,OL
OL6C5,2,4OL,29,0.176016267,OL
OL6C5,1,4OL,27,0.199024046,OL
OL6C5,3,4OL,26,-0.006012029,OL
OL6C6,2,4OL,29,0.340914631,OL
OL6C6,3,4OL,16,0.106793568,OL
OL6C6,1,4OL,24,0.064656981,OL
OL6C6,4,4OL,33,-0.014021089,OL
OL6C7,2,4OL,29,0.181116745,OL
OL6C7,1,4OL,27,0,OL
OL6C8,2,4OL,29,0.256439828,OL
OL6C8,3,4OL,16,0.064655629,OL
OL6C8,1,4OL,24,0.125750361,OL
OL6C9,2,4OL,29,0.215766209,OL
OL6C9,1,4OL,24,0.086252959,OL
OL7B1,2,5OL,18,0.068890364,OL
OL7B1,1,5OL,27,0.175915196,OL
OL7B10,2,5OL,25,0.144558376,OL
OL7B10,1,5OL,21,0.044275624,OL
OL7B11,2,5OL,25,0.014857894,OL
OL7B11,1,5OL,21,0.170690392,OL
OL7B12,3,5OL,21,0.008289023,OL
OL7B12,2,5OL,27,0.140369396,OL
OL7B12,1,5OL,18,0.145134358,OL
OL7B13,2,5OL,27,0.169582255,OL
OL7B13,1,5OL,18,0.085915338,OL
OL7B2,2,5OL,18,-0.024109811,OL
OL7B2,3,5OL,26,0.097491018,OL
OL7B2,1,5OL,27,0.120075977,OL
OL7B3,2,5OL,18,0.032709984,OL
OL7B3,1,5OL,27,0.168445478,OL
OL7B4,2,5OL,18,0.099834923,OL
OL7B4,1,5OL,27,0.121061574,OL
OL7B5,2,5OL,18,0.146500725,OL
OL7B5,3,5OL,26,0.177334171,OL
OL7B5,1,5OL,27,0.151439858,OL
OL7B5,4,5OL,33,0.059881774,OL
OL7B6,1,5OL,21,0,OL
OL7B7,2,5OL,25,0.123596234,OL
OL7B7,3,5OL,31,0.126907909,OL
OL7B7,1,5OL,21,0.203513811,OL
OL7B8,1,5OL,21,0.031757374,OL
OL7B9,2,5OL,29,0.159600395,OL
OL7B9,1,5OL,27,0.191156943,OL
OL7D1,2,5OL,29,0.179189537,OL
OL7D1,1,5OL,24,0.190487745,OL
OL7D2,2,5OL,29,0.197902851,OL
OL7D2,1,5OL,24,0.09468646,OL
OL7D3,2,5OL,29,0.133953904,OL
OL7D3,1,5OL,24,0.172902928,OL
OL7D3,3,5OL,16,0.004930362,OL
OL7D4,3,5OL,16,0.003652969,OL
OL7D4,2,5OL,25,0.037432522,OL
OL7D4,1,5OL,21,0.087324241,OL
OL7D5,2,5OL,25,0.157711302,OL
OL7D5,1,5OL,21,-0.021158342,OL
OL7G1,1,5OL,27,0.230524144,OL
OL7G2,3,5OL,27,0.139904208,OL
OL7G2,2,5OL,21,0.147682685,OL
OL7G2,1,5OL,25,0.194482969,OL
CA11B1,1,7CA,25,0.238435101,CA
CA11B1,2,7CA,40,0.128220695,CA
CA11B1,3,7CA,35,0.042441911,CA
CA11B2,1,7CA,35,0.222991008,CA
CA11B2,2,7CA,25,0.138395118,CA
CA11B2,3,7CA,30,0.180337561,CA
CA11B2,4,7CA,20,0.102586589,CA
CA11B3,1,7CA,15,0.132996965,CA
CA11B3,2,7CA,30,0.07112715,CA
CA11B3,3,7CA,25,0.14965697,CA
CA13B1,1,8CA,20,0.087945976,CA
CA13B1,2,8CA,25,0.116671154,CA
CA13B1,3,8CA,35,0.074594281,CA
CA13B1,4,8CA,30,0.006384682,CA
CA13B2,1,8CA,25,0.151834399,CA
CA13B2,2,8CA,20,0.011059936,CA
CA13B2,3,8CA,30,0.133630396,CA
CA13B2,4,8CA,35,0.117831767,CA
CA14B1,1,9CA,30,0.015170743,CA
CA14B1,2,9CA,40,-0.054508868,CA
CA14B1,3,9CA,25,-0.005931789,CA
CA14B2,1,9CA,15,0.063444385,CA
CA14B2,2,9CA,20,0.151897791,CA
CA14B2,3,9CA,40,-0.090996086,CA
CA14B3,1,9CA,20,0.290653058,CA
CA14B3,2,9CA,30,0.13938876,CA
CA14B3,3,9CA,25,0.338921954,CA
CA14B3,4,9CA,15,0.186831815,CA
CA14B4,1,9CA,25,0.162589485,CA
CA14B4,2,9CA,35,0.095563691,CA
CA14B4,3,9CA,20,0.172393805,CA
CA14B4,4,9CA,30,0.036109306,CA
CA14B5,1,9CA,30,0.130173233,CA
CA14B6,1,9CA,15,0.183673286,CA
CA14B6,2,9CA,25,0.135945967,CA
CA14B6,3,9CA,20,0.265133214,CA
CA15C1,1,10CA,35,0.269488498,CA
CA15C1,2,10CA,20,0.069282104,CA
CA15C2,1,10CA,30,0.270442877,CA
CA15C2,2,10CA,20,0.005873719,CA
CA15C2,3,10CA,35,0.08314392,CA
CA15C2,4,10CA,25,0.042062539,CA
CA15C3,1,10CA,30,0.176175607,CA
CA15C3,2,10CA,40,0.115208812,CA
CA15C3,3,10CA,20,-0.011204511,CA
CA15C3,4,10CA,15,0.006384682,CA
CA15C4,1,10CA,15,0.028883625,CA
CA15C4,2,10CA,20,0.005982655,CA
CA15C4,3,10CA,40,-0.023311885,CA
CA15C5,1,10CA,35,0.356186441,CA
CA15C5,2,10CA,25,0.201951835,CA
CA15C5,3,10CA,20,0.177370577,CA
CA15C5,4,10CA,30,0.145660349,CA
CA15C6,1,10CA,30,0.10774598,CA
CA15C6,2,10CA,25,0.081569982,CA
CA15C6,3,10CA,40,0.339158819,CA
CA15C6,4,10CA,20,0.113851874,CA
CA15C7,1,10CA,35,0.132132811,CA
CA15C7,2,10CA,25,0.17444465,CA
CA15C7,3,10CA,20,0.130923002,CA
CA15C7,4,10CA,15,0.062926539,CA
CA15C8,1,10CA,15,0.203998336,CA
CA15C8,2,10CA,25,0.161466414,CA
CA15C8,3,10CA,20,0.164518369,CA
CA16B1,1,11CA,35,0.156095787,CA
CA16B10,1,11CA,20,0.153467588,CA
CA16B10,2,11CA,35,-0.025290116,CA
CA16B10,3,11CA,40,-0.038936986,CA
CA16B10,4,11CA,30,0,CA
CA16B2,1,11CA,25,0.270426958,CA
CA16B2,2,11CA,20,0.098605828,CA
CA16B2,3,11CA,35,0.123446286,CA
CA16B2,4,11CA,15,0.021309182,CA
CA16B3,1,11CA,35,0.247494284,CA
CA16B3,2,11CA,25,-0.003265307,CA
CA16B3,3,11CA,20,0.147979998,CA
CA16B3,4,11CA,30,0.064853448,CA
CA16B4,1,11CA,15,0.102183322,CA
CA16B4,2,11CA,20,0.042071387,CA
CA16B4,3,11CA,35,0.111445069,CA
CA16B5,1,11CA,35,0.213839847,CA
CA16B5,2,11CA,25,-0.030160798,CA
CA16B6,1,11CA,20,0.269267452,CA
CA16B6,2,11CA,40,0.027695794,CA
CA16B6,3,11CA,25,0.16327053,CA
CA16B6,4,11CA,30,0.054030299,CA
CA16B7,1,11CA,35,0.148029924,CA
CA16B7,2,11CA,30,0.071654671,CA
CA16B7,3,11CA,20,0.187661779,CA
CA16B7,4,11CA,25,0.277500617,CA
CA16B8,1,11CA,20,0.299822625,CA
CA16B8,2,11CA,25,0.172035822,CA
CA16B8,3,11CA,30,-0.062322472,CA
CA16B9,1,11CA,35,0.089314301,CA
CA16B9,2,11CA,40,-0.077977981,CA
CA16B9,3,11CA,25,0.089151249,CA
CA17C1,1,12CA,35,0.177331274,CA
CA17C1,2,12CA,30,0.088778224,CA
CA17C1,3,12CA,25,0.146526041,CA
CA17C1,4,12CA,20,0.088399658,CA
CA18B1,1,13CA,15,0.040113659,CA
CA18B1,2,13CA,30,-0.092973479,CA
CA18B1,3,13CA,25,-0.213482143,CA
CA18B10,1,13CA,20,0.107135491,CA
CA18B10,2,13CA,35,0.073911413,CA
CA18B10,3,13CA,30,0.142589102,CA
CA18B10,4,13CA,15,0.004132233,CA
CA18B11,1,13CA,25,0.125397188,CA
CA18B11,2,13CA,40,-0.132139495,CA
CA18B11,3,13CA,35,0.00417973,CA
CA18B2,1,13CA,20,0.234767509,CA
CA18B2,2,13CA,40,0.047297081,CA
CA18B2,3,13CA,25,0.317669058,CA
CA18B2,4,13CA,15,0.001360082,CA
CA18B3,1,13CA,25,0.285876458,CA
CA18B4,1,13CA,30,0.265754598,CA
CA18B4,2,13CA,25,0.179658666,CA
